City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,kingscliff,-28.2667,153.5667,19.29,77,75,6.17,AU,1682097593
173,gardez,33.5974,69.2259,11.27,35,59,3.5,AF,1682097593
174,axim,4.8699,-2.2405,28.69,76,61,5.58,GH,1682097593
175,puerto armuelles,8.2833,-82.8667,30.99,64,99,2.39,PA,1682097593
176,ansbach,49.3,10.5833,18.38,45,40,4.63,DE,1682097593
177,sterling,39.0062,-77.4286,31.22,40,0,3.13,US,1682097589
178,thinadhoo,0.5333,72.9333,29.39,70,92,2.68,MV,1682097594
179,fort liberte,19.6678,-71.8397,29.0,64,11,4.5,HT,1682097594
180,nadvoitsy,63.8667,34.3167,1.35,98,99,2.15,RU,1682097594
181,ibaiti,-23.8486,-50.1878,19.36,50,0,4.17,BR,1682097594
182,afaahiti,-17.75,-149.2833,25.93,80,100,7.92,PF,1682097594
183,limassol,34.675,33.0333,17.04,82,20,6.69,CY,1682097594
184,kulgam,33.65,75.0167,8.26,73,42,0.81,IN,1682097595
185,veinticinco de mayo,-35.4323,-60.1727,22.21,51,100,3.58,AR,1682097595
186,san patricio,28.017,-97.5169,25.97,53,19,3.49,US,1682097595
187,whakatane,-37.9585,176.9854,19.73,94,83,1.79,NZ,1682097595
188,whitehorse,60.7161,-135.0538,2.28,83,58,0.93,CA,1682097331
189,ostrovskoye,57.8057,42.2433,6.06,72,29,2.51,RU,1682097595
190,darhan,49.4867,105.9228,-1.64,32,10,1.02,MN,1682097595
191,sidrolandia,-20.9319,-54.9614,23.59,54,0,4.08,BR,1682097596
192,banda aceh,5.5577,95.3222,27.56,80,97,0.29,ID,1682097596
193,santiago de cao,-7.9589,-79.2392,27.07,61,20,3.09,PE,1682097596
194,leo,11.1,-2.1,39.3,18,70,2.61,BF,1682097596
195,santo tome,-31.6627,-60.7653,22.25,53,57,3.13,AR,1682097567
196,pierre,44.3683,-100.351,1.59,73,100,11.83,US,1682097372
197,nantucket,41.2835,-70.0995,13.38,64,0,4.12,US,1682097347
198,iskushuban,10.2837,50.23,27.53,63,100,6.39,SO,1682097597
199,colonia,50.9333,6.95,18.87,51,0,4.12,DE,1682097597
200,youssoufia,32.2463,-8.5294,22.79,31,3,7.69,MA,1682097597
201,pariaman,-0.619,100.12,25.93,88,97,0.97,ID,1682097597
202,punta arenas,-53.15,-70.9167,8.06,53,75,11.32,CL,1682097429
203,ulsteinvik,62.3432,5.8487,15.5,75,14,0.89,NO,1682097598
204,laukaa,58.7372,29.8453,10.12,75,86,1.73,RU,1682097598
205,new norfolk,-42.7826,147.0587,14.84,72,100,1.34,AU,1682097598
206,lucapa,-8.4192,20.7447,20.97,91,100,1.23,AO,1682097598
207,beroroha,-21.6667,45.1667,25.77,61,7,1.98,MG,1682097598
208,figuig (centre),32.1089,-1.2286,26.81,11,7,1.89,MA,1682097598
209,ancud,-41.8697,-73.8203,14.38,78,51,2.87,CL,1682097599
210,hasilpur,29.7122,72.5553,28.87,9,1,1.37,PK,1682097599
211,sundsvall,62.3913,17.3063,16.98,31,0,4.12,SE,1682097599
212,la'ie,21.6477,-157.9253,25.98,91,34,3.43,US,1682097599
213,cidreira,-30.1811,-50.2056,21.51,59,8,4.06,BR,1682097599
214,saint-philippe,-21.3585,55.7679,25.77,83,39,6.41,RE,1682097600
215,pathein,16.7833,94.7333,27.18,80,0,4.57,MM,1682097600
216,cooper's town,26.8667,-77.5167,23.62,73,6,5.43,BS,1682097600
217,hami,42.8,93.45,14.0,11,100,2.85,CN,1682097601
218,georgetown,5.4112,100.3354,28.86,83,20,2.06,MY,1682097476
219,kavaratti,10.5669,72.642,28.96,72,67,3.4,IN,1682097554
220,nogliki,51.8333,143.1667,-0.8,97,100,8.62,RU,1682097602
221,hithadhoo,-0.6,73.0833,29.32,73,18,3.34,MV,1682097602
222,balqash,46.8481,74.995,7.32,32,0,1.31,KZ,1682097602
223,zomba,-15.386,35.3188,19.44,90,36,1.18,MW,1682097602
224,revda,56.801,59.9303,5.3,93,100,1.81,RU,1682097603
225,korla,41.7597,86.1469,14.47,24,100,1.32,CN,1682097603
226,ajaccio,42.0,8.9167,15.03,68,0,3.09,FR,1682097603
227,virrat,62.2476,23.78,7.7,84,93,1.78,FI,1682097383
228,aquiraz,-3.9014,-38.3911,31.05,69,64,5.28,BR,1682097603
229,al jawf,29.5,38.75,23.5,25,0,4.24,SA,1682097603
230,usinsk,65.9939,57.5281,-2.59,91,100,4.05,RU,1682097604
231,al mijlad,11.0333,27.7333,35.63,7,2,4.22,SD,1682097604
232,lompoc,34.6391,-120.4579,24.24,48,0,6.69,US,1682097605
233,keflavik,64.0049,-22.5624,9.95,75,20,8.23,IS,1682097605
234,norilsk,69.3535,88.2027,-6.43,92,96,3.27,RU,1682097606
235,tromso,69.6496,18.957,0.21,93,100,3.6,NO,1682097606
236,sungai penuh,-2.0833,101.3833,18.94,97,99,0.72,ID,1682097606
237,vilyuysk,63.7553,121.6247,-7.92,95,100,2.02,RU,1682097606
238,qaqortoq,60.7167,-46.0333,6.28,62,98,2.33,GL,1682097607
239,atafu village,-8.5421,-172.5159,28.25,76,39,4.21,TK,1682097607
240,mejit,10.2753,170.8646,26.83,74,97,7.01,MH,1682097607
241,baotou,40.6522,109.8222,8.14,63,100,2.4,CN,1682097607
242,ha'il,27.5219,41.6907,25.01,38,40,2.06,SA,1682097607
243,katsuura,35.1333,140.3,14.98,65,100,10.69,JP,1682097608
244,anloga,5.7947,0.8973,29.19,73,92,6.46,GH,1682097608
245,konstantinovskoye,45.2992,42.6367,11.32,72,99,6.35,RU,1682097608
246,lihue,21.9789,-159.3672,22.77,92,40,4.12,US,1682097447
247,dickinson,29.4608,-95.0513,25.08,75,75,1.54,US,1682097375
248,thohoyandou,-22.9456,30.485,22.17,26,84,0.79,ZA,1682097609
249,port hedland,-20.3167,118.5667,21.03,56,77,3.09,AU,1682097609
250,tarija,-21.5355,-64.7296,24.95,36,52,2.06,BO,1682097609
251,jakhal,29.8,75.8333,23.49,37,18,2.48,IN,1682097609
252,cam ranh,11.9214,109.1591,26.98,78,0,0.0,VN,1682097609
253,coquimbo,-29.9533,-71.3436,18.85,68,100,2.06,CL,1682097345
254,tolanaro,-25.0319,46.9987,25.04,83,20,1.03,MG,1682097610
255,saint-pierre,-21.3393,55.4781,25.82,73,0,1.54,RE,1682097505
256,mudgee,-32.5943,149.5871,8.68,97,5,2.33,AU,1682097610
257,port saint john's,-31.6229,29.5448,19.23,58,44,1.63,ZA,1682097610
258,lata,40.1629,-8.3327,14.34,95,100,1.22,PT,1682097611
259,pitalito,1.8497,-76.0479,22.87,81,100,1.82,CO,1682097611
260,wotho,10.1657,166.0102,27.2,80,100,8.31,MH,1682097611
261,leava,-14.3,-178.1667,27.7,77,26,5.59,WF,1682097611
262,camargo,27.6667,-105.1667,25.41,8,0,5.64,MX,1682097428
263,pacasmayo,-7.4006,-79.5714,25.43,79,99,1.9,PE,1682097612
264,bodo,67.28,14.405,6.02,94,75,9.26,NO,1682097430
265,undurkhaan,47.3194,110.6556,-0.91,38,2,6.01,MN,1682097612
266,hamilton,39.1834,-84.5333,20.7,73,40,3.6,US,1682097319
267,priob'ye,62.5206,65.5964,-1.95,95,100,2.22,RU,1682097613
268,krasnyy chikoy,50.3643,108.7512,-7.45,58,4,0.8,RU,1682097613
269,pimenta bueno,-11.6725,-61.1936,30.51,62,80,0.78,BR,1682097613
270,saldanha,-33.0117,17.9442,14.03,59,100,4.46,ZA,1682097613
271,vilyuchinsk,52.9306,158.4028,3.15,90,100,15.15,RU,1682097613
272,ji'an,27.1172,114.9793,21.74,91,48,1.04,CN,1682097614
273,sasovo,54.3537,41.9199,10.09,65,100,3.29,RU,1682097614
274,rajapalaiyam,9.45,77.5667,28.79,65,90,2.19,IN,1682097614
275,bezhetsk,57.7851,36.6965,7.69,81,100,3.38,RU,1682097614
276,east london,-33.0153,27.9116,16.52,88,100,1.54,ZA,1682097614
277,badger,64.8,-147.5333,1.56,71,40,1.54,US,1682097614
278,palopo,-2.9996,120.1921,25.2,86,100,1.37,ID,1682097615
279,nemuro,43.3236,145.575,3.92,63,1,9.32,JP,1682097615
280,pokaran,26.9167,71.9167,29.49,6,8,4.59,IN,1682097615
281,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,60,75,10.0,RU,1682097615
282,casas grandes,30.3667,-107.95,19.44,13,0,2.6,MX,1682097615
283,nishinoomote,30.7333,131.0,20.09,84,100,9.41,JP,1682097616
284,nouadhibou,20.931,-17.0347,21.99,64,75,8.75,MR,1682097616
285,togur,58.3631,82.8265,-1.13,84,56,3.19,RU,1682097616
286,kruisfontein,-34.0033,24.7314,13.27,71,80,2.64,ZA,1682097616
287,jacobabad,28.281,68.4388,29.58,6,0,1.22,PK,1682097616
288,ballina,-28.8667,153.5667,15.43,72,92,6.19,AU,1682097617
289,nova vicosa,-17.8919,-39.3719,23.79,91,100,7.54,BR,1682097617
290,manokwari,-0.8667,134.0833,25.28,88,97,2.75,ID,1682097617
291,podgornoye,51.735,39.1496,7.12,93,100,5.0,RU,1682097617
292,nadym,65.5333,72.5167,-0.21,99,100,3.23,RU,1682097617
293,barranca,-10.75,-77.7667,25.84,70,84,4.88,PE,1682097617
294,el granada,37.5027,-122.4694,21.98,64,40,1.79,US,1682097617
295,fort bragg,35.139,-79.006,28.84,33,0,4.63,US,1682097399
296,lady frere,-31.7031,27.2329,11.41,46,0,5.45,ZA,1682097618
297,kantunilkin,21.0917,-87.45,34.47,35,5,2.83,MX,1682097618
298,shitanjing,39.2342,106.3439,5.74,73,100,2.89,CN,1682097618
299,show low,34.2542,-110.0298,15.04,16,0,0.89,US,1682097618
300,kousa,25.9141,32.7636,29.12,7,49,5.1,EG,1682097619
301,loukhi,66.0764,33.0381,1.96,97,97,1.91,RU,1682097619
302,kiwira,-9.1667,33.5333,18.57,99,100,1.78,TZ,1682097619
303,weno,7.4515,151.8468,28.12,74,88,3.07,FM,1682097619
304,dzilam gonzalez,21.2833,-88.9333,34.43,39,12,2.22,MX,1682097619
305,liuduzhai,27.3661,110.935,17.07,93,100,2.64,CN,1682097619
306,fuengirola,36.54,-4.6247,25.0,41,20,6.17,ES,1682097441
307,hastings,50.8552,0.5729,11.89,76,42,1.12,GB,1682097620
308,vylkove,45.4021,29.586,8.95,85,100,6.33,UA,1682097620
309,nova borova,50.693,28.6345,10.52,69,97,2.22,UA,1682097620
310,sisimiut,66.9395,-53.6735,1.3,75,97,0.34,GL,1682097620
311,masterton,-40.9597,175.6575,14.38,99,100,1.69,NZ,1682097620
312,mount isa,-20.7333,139.5,22.87,38,0,4.63,AU,1682097621
313,palangkaraya,-2.2,113.8333,23.79,95,94,0.72,ID,1682097621
314,zaozersk,69.4005,32.4476,-1.38,83,100,2.37,RU,1682097621
315,kilju,40.9642,129.3278,5.25,32,90,2.62,KP,1682097621
316,robertsport,6.7533,-11.3686,28.02,71,100,6.25,LR,1682097622
317,serdar,38.9764,56.2757,25.42,10,63,8.7,TM,1682097622
318,safi,32.1667,-8.8333,20.57,36,1,6.63,MA,1682097622
319,vetluzhskiy,58.3902,45.4654,5.71,67,30,2.79,RU,1682097622
320,bovril,-31.3431,-59.4451,22.54,33,88,5.93,AR,1682097622
321,pangoa,-12.1167,-73.0,25.13,79,93,1.36,PE,1682097622
322,luanda,-8.8368,13.2343,27.0,83,75,3.09,AO,1682097418
323,natal,-5.795,-35.2094,29.36,70,40,6.69,BR,1682097556
324,lulea,65.5842,22.1547,8.04,66,0,1.54,SE,1682097623
325,simpang,-1.2667,104.0833,24.11,94,97,1.04,ID,1682097623
326,inirida,3.8653,-67.9239,31.06,61,95,0.88,CO,1682097623
327,znamensk,48.5842,45.7338,11.33,62,76,4.25,RU,1682097623
328,gadzhiyevo,69.2551,33.3362,-1.04,83,100,1.46,RU,1682097624
329,vierzon,47.2101,2.0625,15.75,56,90,1.22,FR,1682097624
330,halmstad,56.6745,12.8568,16.11,33,0,4.12,SE,1682097624
331,zemetchino,53.4973,42.6163,8.31,79,100,3.32,RU,1682097624
332,shache,38.4167,77.2406,12.36,37,96,1.27,CN,1682097624
333,guerrero negro,27.9769,-114.0611,23.69,31,0,1.65,MX,1682097625
334,alaghsas,17.0187,8.0168,38.58,7,58,7.35,NE,1682097625
335,nizao,18.25,-70.2,31.04,58,1,5.06,DO,1682097379
336,callao,-12.0667,-77.15,27.16,54,0,4.63,PE,1682097625
337,kosh-agach,50.0,88.6667,-10.02,71,16,2.37,RU,1682097625
338,emirgazi,37.9022,33.8372,12.08,48,71,1.32,TR,1682097625
339,tazacorte,28.629,-17.9293,21.54,84,20,4.02,ES,1682097626
340,berdigestyakh,62.0989,126.6992,-7.77,98,100,1.74,RU,1682097626
341,paranaiba,-19.6772,-51.1908,23.94,54,9,3.03,BR,1682097626
342,ritchie,-29.038,24.6028,13.56,17,0,2.81,ZA,1682097626
343,faya-largeau,17.9257,19.1043,35.7,9,0,3.06,TD,1682097626
344,bengkulu,-3.8004,102.2655,25.06,92,100,1.66,ID,1682097627
345,genhe,50.7833,121.5167,-12.0,97,64,1.32,CN,1682097627
346,surazh,53.0175,32.3918,11.38,52,89,4.71,RU,1682097627
347,greymouth,-42.4667,171.2,14.83,90,98,1.4,NZ,1682097627
348,sint michiel liber,12.15,-68.9833,29.9,70,40,6.17,CW,1682097627
349,stepnogorsk,52.3544,71.8869,0.48,70,4,3.63,KZ,1682097628
350,malpe,13.35,74.7167,27.83,76,9,1.96,IN,1682097628
351,praia da vitoria,38.7333,-27.0667,18.14,77,75,10.06,PT,1682097628
352,chos malal,-37.3781,-70.2709,20.06,36,94,3.13,AR,1682097628
353,tamanrasset,22.785,5.5228,27.95,10,40,8.75,DZ,1682097628
354,ghat,24.9647,10.1728,33.86,8,37,8.2,LY,1682097628
355,mbeni,-11.5014,43.3775,24.95,78,11,3.64,KM,1682097629
356,kerikeri,-35.2268,173.9474,20.51,97,100,1.34,NZ,1682097629
357,saint john,45.2727,-66.0677,7.0,49,17,1.15,CA,1682097630
358,fale old settlement,-9.3852,-171.2468,28.43,76,47,4.72,TK,1682097631
359,erzincan,39.75,39.5,9.61,53,40,5.66,TR,1682097631
360,angostura,25.3667,-108.1833,29.41,20,61,2.81,MX,1682097631
361,marsabit,2.3284,37.9899,22.89,61,88,3.95,KE,1682097631
362,kearney,40.6995,-99.0815,7.95,35,40,8.75,US,1682097631
